age,study_hours,attendance,previous_score,pass
21,0.92,76,56,1
20,8.9,58,82,0
30,9.15,58,91,0
22,1.36,50,67,1
21,2.16,81,84,1
29,7.99,91,64,1
27,3.65,85,90,0
29,2.03,85,45,1
25,8.52,84,53,1
26,4.55,84,54,1
29,1.6,96,42,0
19,6.34,88,52,1
24,2.64,65,88,1
19,7.98,77,85,0
26,0.61,74,64,0
23,0.55,71,81,1
24,1.79,99,48,1
18,2.29,68,61,1
26,7.58,96,90,1
22,3.47,88,66,0
26,7.97,52,95,1
29,6.6,90,98,0
22,7.95,64,89,1
21,2.61,75,60,0
18,4.91,51,73,1
21,6.57,96,47,1
27,7.82,69,44,1
29,7.48,85,68,1
18,9.17,61,47,0
20,0.77,76,80,1
27,8.25,98,85,0
20,9.22,63,93,1
21,5.62,77,45,0
23,2.85,54,85,1
29,7.31,71,99,0
27,3.93,72,58,0
29,8.55,55,40,0
29,6.54,91,69,1
18,1.74,75,47,1
27,5.19,80,52,1
25,9.3,76,90,1
24,3.84,85,70,0
29,1.02,58,69,1
24,3.44,56,71,1
28,1.96,75,75,0
29,2.84,53,87,0
26,2.66,88,58,1
20,3.56,73,74,1
27,1.47,83,84,1
25,2.23,70,95,0
28,8.28,69,62,1
27,7.7,73,70,0
23,0.52,95,74,0
29,6.77,68,67,0
30,2.24,53,52,0
19,3.79,57,94,1
22,1.39,97,56,1
29,1.27,88,75,0
29,3.93,64,60,1
26,1.81,55,51,1
28,3.99,73,81,1
30,7.61,94,72,1
28,5.05,81,90,1
22,1.8,60,98,0
21,3.93,85,93,0
25,1.05,99,88,1
27,5.51,73,71,1
29,7.2,97,74,0
21,2.34,57,50,0
19,5.17,61,48,1
19,1.53,74,95,0
27,8.2,65,96,1
29,2.76,72,76,0
21,8.07,91,95,0
20,8.49,98,83,0
24,0.45,94,96,1
30,2.06,100,97,0
19,0.59,58,49,1
18,4.8,82,92,0
22,0.43,77,84,1
27,5.83,50,63,1
23,3.09,57,68,0
21,4.93,91,71,0
24,4.93,72,42,1
24,9.36,90,81,1
21,1.88,50,85,1
27,4.7,57,74,1
22,3.68,94,92,1
28,6.54,51,44,0
22,6.71,95,52,0
30,3.92,100,40,0
19,4.18,74,62,1
27,4.11,78,69,0
27,6.12,52,53,0
26,1.59,59,51,1
26,4.88,54,97,1
18,2.66,92,93,0
18,4.0,67,86,0
22,8.72,59,90,0
29,3.55,87,96,0
19,2.65,88,45,0
21,3.46,64,57,0
28,2.72,98,73,1
18,7.46,67,57,0
29,4.28,82,58,0
24,2.02,75,62,0
21,7.97,84,47,1
20,7.05,78,91,0
22,0.26,59,98,1
19,9.98,89,46,1
30,2.0,75,80,1
19,3.76,53,79,0
18,9.73,100,92,0
24,6.65,57,58,1
29,2.66,54,69,0
21,5.51,97,62,0
25,1.7,89,52,1
18,9.18,99,52,0
24,5.89,100,68,1
19,5.27,92,71,1
28,9.72,83,58,1
30,4.45,51,49,1
21,6.12,59,59,1
19,0.96,76,97,1
25,3.88,94,56,0
22,6.82,55,81,0
22,9.38,82,97,0
28,0.13,95,45,1
24,6.33,79,41,0
29,4.31,81,56,0
20,6.27,95,92,1
24,7.07,85,65,0
27,6.97,70,76,0
27,7.13,95,78,1
18,4.42,80,100,1
18,2.91,53,73,0
24,8.87,64,89,1
20,5.07,84,48,0
25,9.92,81,44,0
21,5.61,58,42,1
19,8.26,88,99,0
28,2.27,100,44,1
28,6.18,99,92,1
18,4.29,64,63,0
21,6.12,53,46,1
19,3.65,81,42,1
22,5.25,83,69,0
30,1.42,52,69,1
29,0.4,92,98,1
27,1.55,66,91,1
27,0.87,99,52,0
20,4.21,57,95,0
26,8.82,55,96,0
24,0.55,90,42,0
22,5.73,85,54,0
23,6.98,53,80,1
25,7.9,95,96,0
28,7.9,67,88,0
25,0.77,64,86,1
28,1.7,66,40,0
18,6.8,52,80,0
22,5.65,59,48,1
30,6.38,92,86,1
22,0.98,76,96,1
19,0.69,69,76,1
22,9.48,72,54,0
21,6.79,93,92,1
20,7.14,67,74,0
22,2.28,80,75,1
20,6.27,86,60,0
26,4.51,94,93,1
24,7.43,58,40,0
18,5.99,65,75,1
29,4.29,57,81,1
20,9.53,85,43,1
28,9.21,94,90,0
20,6.94,79,86,0
30,2.17,65,47,0
23,4.81,86,72,1
25,4.41,76,82,0
22,6.32,65,62,1
19,7.28,93,53,0
21,0.61,65,87,1
27,7.32,95,95,1
23,5.4,85,87,0
26,6.37,51,97,0
30,5.83,52,82,0
27,7.73,96,99,0
27,2.98,100,58,0
28,2.21,74,90,1
27,6.75,94,71,0
23,9.84,100,76,0
24,3.3,90,48,1
19,1.21,71,48,0
23,3.41,55,71,1
30,7.14,50,100,1
22,3.79,84,92,1
20,6.42,89,70,1
18,0.39,76,49,1
22,1.74,88,99,1
25,2.11,78,45,1
22,9.94,62,86,1
21,9.05,73,51,0
24,5.63,97,98,0
27,6.29,68,40,1
18,2.51,64,90,0
24,0.82,71,56,0
20,3.95,57,50,0
24,6.35,96,85,1
23,9.92,66,92,0
22,1.11,64,88,0
23,0.15,99,78,0
25,5.11,69,58,0
23,7.57,81,77,0
19,2.1,56,54,0
21,5.24,59,69,0
18,2.5,90,95,0
28,4.1,100,92,1
24,1.18,89,67,0
30,2.52,83,46,0
29,2.32,56,60,0
27,6.25,72,70,1
